Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,68.200,18.628,15.505,17.344,17.978,19.019,20.213,22.472,31.019,37.901,0.054
5,70.600,18.972,15.673,17.483,18.256,19.295,21.256,23.816,32.509,42.415,0.053
10,75.000,18.662,15.996,17.400,18.072,18.917,20.033,25.287,29.790,31.080,0.054
15,71.600,18.059,15.863,17.210,17.823,18.466,19.294,20.121,26.709,28.054,0.055
20,70.800,18.501,16.092,17.407,18.078,18.825,20.057,21.203,29.731,30.939,0.054
25,74.000,18.765,15.824,17.399,18.216,19.048,20.300,25.437,32.718,41.528,0.053
30,66.800,18.505,15.898,17.426,18.205,19.139,20.120,21.011,26.998,31.449,0.054
35,66.400,18.853,15.483,17.534,18.173,19.119,20.390,25.089,30.539,35.633,0.053
40,69.000,18.660,15.618,17.354,17.878,18.815,20.048,22.555,37.509,51.882,0.054
45,79.000,18.020,15.705,17.016,17.781,18.409,19.185,19.987,30.032,33.855,0.055
50,76.200,18.146,15.516,17.051,17.785,18.723,19.640,20.373,28.551,29.302,0.055
55,74.800,18.014,15.523,17.052,17.805,18.591,19.521,20.190,23.585,28.752,0.056
